id,years,title,programme,description,role,display_order,record_status
"feelfields","2026–2028","FeelFields: Co-registered Volumetric Haptic Displays","Marie Skłodowska-Curie Postdoctoral Fellowship (Horizon Europe)","Developing volumetric interaction in which users can see and physically feel three-dimensional content through integrated haptic hardware and computational–perceptual modelling.","Fellow","1","published"
"intevol","2025–2028","Creating the First Reach-through Volumetric Display","INTEVOL · Horizon Europe ERC Starting Grant","Developing volumetric displays that allow people to introduce their hands directly into the displayed content.","Participant","2","published"
"touchless","2023–2025","Touchless Haptic Experiences with Neurocognitive AI","TOUCHLESS · H2020 FET Proactive","Developing contactless haptic technologies and neurocognitive models for closed-loop tactile experiences.","Participant","3","published"
"digital-twin","2022–2023","Non-Wearable Visuo-Haptic Digital Twin Interface Platform","Ministry of Science and ICT, South Korea","A non-wearable interface platform for presenting multimodal information from digital objects.","Participant","4","published"
"edgecps","2022–2023","Data Processing and Multi-Modal Interaction through EdgeCPS","ICT-ITRC, South Korea","Research on modular on-device processing and multimodal interaction through edge cyber-physical systems.","Participant","5","published"
"teleoperation","2022–2023","Model-Mediated Adaptive Teleoperation for Realistic Haptic Experience Sharing","National Research Foundation of Korea","Developing model-mediated teleoperation methods for sharing realistic remote haptic texture experiences.","Participant","6","published"
"life-safety","2019–2023","Virtual Object Interaction Techniques in Life-Safety Situations","Ministry of the Interior and Safety, South Korea","Developing tactile and kinesthetic interaction techniques for immersive life-safety training scenarios.","Participant","7","published"
"drone-interface","2017–2019","Drone-Based Haptic Interface with Unlimited Workspace","National Research Foundation of Korea","Developing an encountered drone-based interface capable of delivering controllable force feedback.","Participant","8","published"
"ultrasonic-display","2016–2017","Perceptual Performance Enhancement of Ultrasonic Haptic Displays","ETRI, South Korea","Improving perceptual consistency in mid-air ultrasound haptics across operating conditions and locations.","Participant","9","published"
"mirror-world","2014–2019","Haptic Modelling and Rendering Technology for Mirror World","Global Frontier R&D Program, South Korea","Developing perceptually grounded texture libraries, texture authoring methods, and haptic attribute prediction.","Participant","10","published"
"example-funded-project","2099–2100","Example project title","Example programme","One-sentence description of the project's research purpose.","Participant","999","example"
