id,category,role,organization,years,details,display_order,record_status
"service-chi26","Program committee","1AC","ACM CHI Papers","2026","Papers Program Committee","1","published"
"service-uist25","Program committee","1AC","ACM UIST Posters","2025","Posters Program Committee","2","published"
"service-asiahaptics24","Editorial service","Associate Editor","AsiaHaptics","2024","","3","published"
"service-haptics-grants","Committee","Technical Committee member","Researcher Grants to Young Researchers — Technical Committee on Haptics","Current","","4","published"
"review-chi","Peer review","Reviewer","ACM CHI","2024","","5","published"
"review-uist","Peer review","Reviewer","ACM UIST","2024","","6","published"
"review-icra","Peer review","Reviewer","IEEE International Conference on Robotics and Automation","2022–present","","7","published"
"review-tvt","Peer review","Reviewer","IEEE Transactions on Vehicular Technology","2022","","8","published"
"review-ah","Peer review","Reviewer","ACM Augmented Humans","2021","","9","published"
"review-ral","Peer review","Reviewer","IEEE Robotics and Automation Letters","2019–present","","10","published"
"review-tie","Peer review","Reviewer","IEEE Transactions on Industrial Electronics","2018","Special issue on haptics","11","published"
"review-eurohaptics","Peer review","Reviewer","EuroHaptics Conference","2018–present","","12","published"
"review-ieee-vr","Peer review","Reviewer","IEEE Virtual Reality Conference","2018–present","","13","published"
"review-haptics","Peer review","Reviewer","IEEE Haptics Symposium","2016–present","","14","published"
"review-whc","Peer review","Reviewer","IEEE World Haptics Conference","2016–present","","15","published"
"review-toh","Peer review","Reviewer","IEEE Transactions on Haptics","2016–present","","16","published"
"review-asiahaptics","Peer review","Reviewer","AsiaHaptics Conference","2016–present","","17","published"
"membership-ieee","Professional membership","Member","IEEE","Current","","18","published"
"membership-acm","Professional membership","Member","ACM","Current","","19","published"
"membership-eurohaptics","Professional membership","Member","EuroHaptics Society","Current","","20","published"
"membership-ras","Professional membership","Member","IEEE Robotics and Automation Society","Current","","21","published"
"example-service","Peer review","Reviewer","Example Conference or Journal","2099","Optional detail","999","example"
