id,title,chapter_id,type,difficulty,estimated_time,required_hardware,required_software,instructions_file,starter_code,dataset,solution_status,learning_objectives,grading_notes,visibility,notes
EX01A,Concept check for Chapter 01,01,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX01B,Research design exercise for Chapter 01,01,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX02A,Concept check for Chapter 02,02,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX02B,Research design exercise for Chapter 02,02,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX03A,Concept check for Chapter 03,03,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX03B,Research design exercise for Chapter 03,03,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX04A,Concept check for Chapter 04,04,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX04B,Research design exercise for Chapter 04,04,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX05A,Concept check for Chapter 05,05,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX05B,Research design exercise for Chapter 05,05,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
