term,short_definition,full_definition,chapter_first_used,related_terms,equation,symbol,source_reference_ids,status,notes
Active touch,Touch arising while a person deliberately explores an object.,"Touch perception produced through self-directed movement, where motor commands and sensory feedback jointly support perception.",01,passive touch|haptic exploration,,,,draft,
Admittance control,Control that maps measured force to commanded motion.,A haptic control architecture in which force or torque is the input and desired position or velocity is the output.,10,impedance control|force feedback,,,,draft,
Afferent,Sensory nerve fibre carrying information toward the central nervous system.,"A neural pathway that transmits information from receptors in skin, muscles, tendons, or joints toward the spinal cord and brain.",02,mechanoreceptor|efferent,,,,draft,
Aliasing,Misrepresentation caused by inadequate sampling.,The appearance of false lower-frequency components when a signal is sampled below the rate required to represent its highest relevant frequencies.,06,sampling rate|Nyquist criterion,,,,draft,
Apparent tactile motion,Perceived motion created by sequential stationary stimuli.,A percept of movement across the skin produced by activating spatially separated tactors with suitable timing.,04,sensory saltation|phantom sensation,,,,draft,
Bandwidth,Frequency range over which a system performs adequately.,"The span of frequencies a sensor, actuator, controller, or communication channel can reproduce or measure within specified limits.",06,frequency response|resonance,,,,draft,
Co-registration,Alignment of information across coordinate systems or modalities.,"The spatial and temporal alignment between visual, haptic, tracked, and physical elements so that they refer to the same apparent location and event.",19,latency|spatial error,,,,draft,
Compliance,Deformation per unit force.,The inverse of stiffness in a linear model; a compliant object deforms substantially under applied load.,05,stiffness|impedance,,,,draft,
Cutaneous perception,Perception mediated primarily by receptors in the skin.,"Tactile information arising from skin deformation, vibration, pressure, stretch, temperature, and related cues.",01,kinesthetic perception|somatosensation,,,,draft,
Damping,Velocity-dependent resistance.,A mechanical property that dissipates energy and produces a force often modelled as proportional to relative velocity.,05,stiffness|mass,,,,draft,
Detection threshold,Smallest stimulus reliably distinguishable from no stimulus.,A psychophysical estimate of the stimulus magnitude associated with a chosen probability of detection.,03,JND|psychometric function,,,,draft,
Embodiment,Experience of a body or representation as one’s own and under one’s control.,"A family of perceptual phenomena involving body ownership, agency, and self-location in physical or virtual environments.",04,agency|body ownership,,,,draft,
Electrovibration,Friction modulation using an electrostatic force.,A surface-haptics technique that changes the apparent friction between a finger and an insulated electrode by applying a time-varying voltage.,08,electroadhesion|surface haptics,,,,draft,
Force feedback,Haptic output that applies mechanical force or torque to the user.,"A class of kinesthetic interface that resists or guides movement to represent contact, weight, constraints, or dynamics.",10,kinesthetic perception|impedance control,,,,draft,
